Gene	sgRNA
SLC6A2	SLC6A2_-_55689983.23-P1P2
SLC6A2	SLC6A2_-_55690490.23-P1P2
SUCNR1	SUCNR1_+_151591462.23-P1P2
SUCNR1	SUCNR1_-_151591472.23-P1P2
CDH5	CDH5_-_66400656.23-P1P2
MKNK1	MKNK1_+_47082286.23-P2
MKNK1	MKNK1_+_47082506.23-P2
DBI	DBI_-_120126220.23-P2
DBI	DBI_-_120125823.23-P2
DBI	DBI_-_120125881.23-P2
PCSK1	PCSK1_-_95768888.23-P1P2
PCSK1	PCSK1_+_95768830.23-P1P2
CDK9	CDK9_-_130547862.23-P1P2
FN3KRP	FN3KRP_-_80674730.23-P1P2
GMDS	GMDS_-_2245815.23-P1P2
CKM	CKM_+_45825893.23-P1
ALPI	ALPI_+_233320899.23-P1P2
ALPI	ALPI_-_233320917.23-P1P2
DDAH1	DDAH1_-_85930417.23-P1P2
DDAH1	DDAH1_+_85930831.23-P1P2
TAOK3	TAOK3_-_118796467.23-P2
TAOK3	TAOK3_+_118810329.23-P1
TAOK3	TAOK3_-_118796900.23-P2
HRH3	HRH3_+_60795291.23-P1P2
TPSB2	TPSB2_-_1279243.23-P1P2
INPP4B	INPP4B_-_143766987.23-P2
INPP4B	INPP4B_-_143326342.23-P1
SLC6A3	SLC6A3_-_1445118.23-P1P2
PRKACG	PRKACG_+_71628971.23-P1P2
BCAT2	BCAT2_+_49314196.23-P1P2
DARS	DARS_-_136743145.23-P1P2
TRAF3IP3	TRAF3IP3_+_209942001.23-P2
AKAP1	AKAP1_-_55162653.23-P1P2
TUBA4A	TUBA4A_-_220118432.23-P1P2
GLS2	GLS2_-_56882125.23-P1P2
TUBB2B	TUBB2B_+_3231512.23-P2
TUBB2B	TUBB2B_+_3231543.23-P2
ABCG1	ABCG1_-_43639626.23-P1P2
PPP1R3C	PPP1R3C_+_93392840.23-P1P2
CD1D	CD1D_-_158150739.23-P1P2
MAPKAPK2	MAPKAPK2_-_206858786.23-P1P2
DUSP23	DUSP23_-_159750739.23-P1P2
DUSP23	DUSP23_-_159751151.23-P1P2
PRKG1	PRKG1_+_52751578.23-ENST00000401604.2
EPHB1	EPHB1_+_134514118.23-P1P2
ALDH1L1	ALDH1L1_-_125899408.23-P1P2
PCCB	PCCB_-_135969238.23-P1
MASP2	MASP2_+_11107254.23-P1P2
GABRA4	GABRA4_-_46995086.23-P1P2
PTPDC1	PTPDC1_+_96793126.23-P1P2
PTPDC1	PTPDC1_+_96793142.23-P1P2
PTGFR	PTGFR_+_78958349.23-P2
HPRT1	HPRT1_+_133594302.23-P1P2
MYH7	MYH7_+_23904873.23-P1
IL2RG	IL2RG_+_70329189.23-P2
IL2RG	IL2RG_-_70331360.23-P1
PTPN22	PTPN22_-_114414171.23-P1P2
GOT1	GOT1_+_101190144.23-P1P2
ANXA2	ANXA2_-_60689707.23-P1P2
GUCY2D	GUCY2D_+_7906037.23-P1P2
CTSK	CTSK_-_150780713.23-P1P2
PCTP	PCTP_-_53828576.23-P1P2
BRD4	BRD4_-_15390749.23-ENST00000263377.2
NDUFB5	NDUFB5_+_179322610.23-P1P2
RIPK4	RIPK4_-_43187180.23-P1P2
DCTD	DCTD_+_183838478.23-P1P2
KRT8	KRT8_-_53343627.23-P2
KRT8	KRT8_-_53298394.23-P1
KRT8	KRT8_-_53298402.23-P1
CYC1	CYC1_-_145150142.23-P1P2
PTPRN2	PTPRN2_+_158380139.23-ENST00000389416.4
GAD2	GAD2_-_26505751.23-P1P2
GNPDA1	GNPDA1_-_141392562.23-P1P2
JAK1	JAK1_-_65432205.23-P1P2
SRMS	SRMS_+_62179070.23-P1P2
PRKD3	PRKD3_-_37551883.23-P1P2
TRAPPC2	TRAPPC2_+_13752454.23-ENST00000358231.5
S100A1	S100A1_-_153603155.23-P2
S100A1	S100A1_+_153603287.23-P2
SCYL2	SCYL2_-_100661185.23-P1P2
FXYD2	FXYD2_-_117695307.23-P1
FXYD2	FXYD2_+_117695370.23-P1
GGCX	GGCX_-_85788211.23-P1P2
CLK2	CLK2_+_155242888.23-P1P2
GABRG2	GABRG2_-_161495518.23-P1P2
PPAP2A	PPAP2A_-_54830435.23-P1P2
METAP1	METAP1_-_99916941.23-P1P2
MAP2K6	MAP2K6_+_67410873.23-P1P2
MAP2K6	MAP2K6_+_67410896.23-P1P2
RET	RET_+_43600615.23-P2
SV2A	SV2A_-_149889322.23-P1P2
EEF2	EEF2_-_3985225.23-P1
ELOVL4	ELOVL4_-_80656918.23-P1P2
CRAT	CRAT_-_131872671.23-P1P2
NRK	NRK_+_105066892.23-P1P2
SERPINA5	SERPINA5_-_95047861.23-P1
PIM1	PIM1_+_37138184.23-P1P2
PIM1	PIM1_-_37138008.23-P1P2
CDK3	CDK3_+_73975301.23-P1P2
PPM1G	PPM1G_-_27607633.23-P2
PPM1G	PPM1G_+_27607655.23-P2
ENOPH1	ENOPH1_+_83351756.23-P1P2
CKS2	CKS2_-_91926551.23-P1P2
TRIB3	TRIB3_-_361656.23-P1P2
TRIB3	TRIB3_-_361498.23-P1P2
TRAPPC6A	TRAPPC6A_-_45681105.23-P1P2
PPP2R2C	PPP2R2C_-_6474098.23-P1P2
SGK3	SGK3_-_67625061.23-ENST00000521198.2
SGK3	SGK3_-_67705911.23-ENST00000345714.4
BRD2	BRD2_+_32940409.23-P1
CSF1R	CSF1R_+_149466064.23-P1P2
IP6K1	IP6K1_-_49823953.23-P1P2
MAPK11	MAPK11_+_50708466.23-P1P2
UQCRC1	UQCRC1_+_48647049.23-P1
PROC	PROC_-_128176438.23-P1
NEK11	NEK11_+_130745741.23-P1P2
PPP1R1C	PPP1R1C_-_182850503.23-ENST00000409137.3
ROCK1	ROCK1_-_18691281.23-P1P2
CTDSP2	CTDSP2_+_58240671.23-P1P2
CDC42BPG	CDC42BPG_+_64612119.23-P1P2
ADRBK1	ADRBK1_-_67033953.23-P1P2
NT5C2	NT5C2_+_104952991.23-P1P2
CHRNA1	CHRNA1_-_175629149.23-P1P2
NMNAT1	NMNAT1_-_10003540.23-P1P2
NMNAT1	NMNAT1_+_10003524.23-P1P2
SCN10A	SCN10A_-_38835269.23-ENST00000449082.2
CDC25B	CDC25B_-_3776969.23-P1P2
PDHA2	PDHA2_-_96761725.23-P1P2
ADORA2A	ADORA2A_-_24819903.23-P1P2
PADI1	PADI1_+_17532030.23-P1P2
PADI1	PADI1_+_17532049.23-P1P2
KCNK1	KCNK1_-_233749964.23-P1P2
AADAT	AADAT_-_171011321.23-P1P2
CDK13	CDK13_-_39989852.23-P1P2
ATP6V1C1	ATP6V1C1_-_104033344.23-P1P2
ACACB	ACACB_-_109569639.23-P1
PDE1B	PDE1B_+_54943625.23-P1
JAKMIP1	JAKMIP1_+_6201893.23-P1P2
HMGCL	HMGCL_+_24151875.23-P1P2
HK1	HK1_+_71075626.23-P2
HK1	HK1_-_71078999.23-P1
HK1	HK1_-_71075613.23-P2
ODC1	ODC1_+_10588474.23-P1P2
PTGDR	PTGDR_-_52734936.23-P1P2
ADAMTS5	ADAMTS5_-_28339421.23-P1P2
ADAMTS5	ADAMTS5_-_28338950.23-P1P2
BMPR1B	BMPR1B_-_95679577.23-P1P2
ARF4	ARF4_-_57583055.23-P1P2
PAK1	PAK1_-_77184851.23-ENST00000356341.3
SHMT2	SHMT2_-_57623529.23-P1P2
SHMT2	SHMT2_+_57623513.23-P1P2
PPAP2C	PPAP2C_-_290882.23-P1P2
RPS6KB1	RPS6KB1_+_57970498.23-P1P2
ASGR2	ASGR2_-_7017726.23-P1P2
NEU2	NEU2_+_233897430.23-ENST00000233840.3
CYTH2	CYTH2_-_48972593.23-P1P2
TFF2	TFF2_+_43770833.23-P1P2
TFF2	TFF2_-_43770676.23-P1P2
TNNC2	TNNC2_+_44455883.23-P1P2
TNNC2	TNNC2_+_44455868.23-P1P2
DNASE1	DNASE1_+_3705260.23-P1P2
CDKN3	CDKN3_+_54864161.23-P1P2
CDKN3	CDKN3_-_54863776.23-P1P2
SORCS3	SORCS3_-_106401415.23-P1P2
PRSS1	PRSS1_+_142457357.23-P1
MMP10	MMP10_+_102651366.23-P1P2
MMP10	MMP10_-_102651285.23-P1P2
DUSP2	DUSP2_+_96811110.23-P1P2
DUSP2	DUSP2_+_96810812.23-P1P2
GLT6D1	GLT6D1_-_138531145.23-ENST00000371763.1
PPP1R3E	PPP1R3E_+_23770729.23-P1
RXRG	RXRG_+_165413902.23-P1P2
ARPC2	ARPC2_+_219082121.23-P1
ERO1LB	ERO1LB_+_236444840.23-P1P2
PRKCE	PRKCE_+_45878490.23-P1P2
PPP1R12A	PPP1R12A_-_80328443.23-P1P2
PPP1R12A	PPP1R12A_+_80328722.23-P1P2
ACAN	ACAN_-_89346701.23-P1P2
ACAN	ACAN_+_89347151.23-P1P2
CES1	CES1_-_55866975.23-P1P2
HTR3A	HTR3A_+_113848233.23-P2
CHRNB4	CHRNB4_+_78933530.23-P1P2
CHRNB4	CHRNB4_+_78933119.23-P1P2
TSSK2	TSSK2_-_19118875.23-P1P2
TSSK2	TSSK2_+_19118825.23-P1P2
PTDSS2	PTDSS2_+_450673.23-P1P2
PTDSS2	PTDSS2_+_450731.23-P1P2
ADORA1	ADORA1_+_203097506.23-P1P2
AKR1B10	AKR1B10_-_134212336.23-P1P2
TAP1	TAP1_+_32821492.23-P1P2
GRIN2D	GRIN2D_-_48917386.23-P1P2
GRIN2D	GRIN2D_+_48917318.23-P1P2
NAGS	NAGS_-_42083396.23-P2
PNKP	PNKP_+_50370774.23-P1P2
PITPNA	PITPNA_+_1466054.23-P1P2
SORD	SORD_+_45315432.23-P1P2
TNIK	TNIK_-_171178091.23-P1P2
PDE8A	PDE8A_-_85523733.23-P2
PDE8A	PDE8A_-_85524138.23-P2
DUSP6	DUSP6_-_89746275.23-P1P2
DUSP6	DUSP6_+_89745983.23-P1P2
ACP2	ACP2_+_47270320.23-P1P2
MYH14	MYH14_+_50707141.23-P1P2
PPP2R2B	PPP2R2B_+_146257929.23-P1
TBK1	TBK1_-_64845923.23-P1P2
TBK1	TBK1_-_64845920.23-P1P2
TBK1	TBK1_+_64845924.23-P1P2
MOS	MOS_-_57025709.23-P1P2
EPOR	EPOR_+_11491868.23-P1
EPOR	EPOR_+_11491872.23-P1
IDH3B	IDH3B_+_2644830.23-P1P2
S100P	S100P_+_6695596.23-P1P2
S100P	S100P_-_6695980.23-P1P2
MAP3K7	MAP3K7_+_91296774.23-P1P2
SBK1	SBK1_-_28304002.23-P1P2
IYD	IYD_+_150690160.23-P1P2
MAP2K4	MAP2K4_+_11924585.23-P1P2
CSNK1A1	CSNK1A1_+_148930972.23-P1P2
KALRN	KALRN_-_123813683.23-ENST00000360013.3
C17ORF75	C17ORF75_-_30669152.23-P1P2
MYLK2	MYLK2_+_30407241.23-P1P2
GRIK2	GRIK2_+_101847042.23-P1P2
GRIK2	GRIK2_+_101847183.23-P1P2
MERTK	MERTK_+_112656181.23-P1P2
MC2R	MC2R_+_13915087.23-P1P2
GRIA1	GRIA1_-_152870689.23-P1P2
TK1	TK1_-_76182696.23-P1P2
TK1	TK1_+_76183098.23-P1P2
CTDSP1	CTDSP1_-_219265044.23-P1P2
NLK	NLK_+_26369136.23-P1P2
PCSK2	PCSK2_-_17208074.23-P1P2
INPP5J	INPP5J_+_31519127.23-P1P2
INPP5J	INPP5J_-_31519427.23-P1P2
GLTP	GLTP_+_110318264.23-P1P2
GLTP	GLTP_-_110317840.23-P1P2
MYL12A	MYL12A_-_3247870.23-P1
MYL12A	MYL12A_-_3247880.23-P1
ADC	ADC_+_33546850.23-P1P2
PNP	PNP_-_20937615.23-P1P2
NPSR1	NPSR1_-_34698064.23-P1P2
EPHA1	EPHA1_-_143105934.23-P1P2
CHRM1	CHRM1_+_62688821.23-P1P2
LIPA	LIPA_-_91011546.23-P1P2
PPP1R37	PPP1R37_-_45596468.23-P1P2
PGK	PGK1_+_77359761.23-P1P2
NTRK3	NTRK3_-_88799744.23-P1P2
NTRK3	NTRK3_-_88799682.23-P1P2
NR1I2	NR1I2_+_119501027.23-P1P2
HUNK	HUNK_-_33245746.23-P1P2
IRGC	IRGC_-_44220308.23-P1P2
NRGN	NRGN_-_124610249.23-P1P2
GABRR3	GABRR3_-_97753738.23-P1P2
GABRR3	GABRR3_+_97753732.23-P1P2
PSTPIP2	PSTPIP2_-_43652233.23-P1P2
PSTPIP2	PSTPIP2_-_43651770.23-P1P2
FGG	FGG_+_155533787.23-P1P2
C8G	C8G_-_139839725.23-P1P2
SMPD4	SMPD4_-_130939619.23-P1P2
PTPRR	PTPRR_-_71314467.23-P1P2
CA12	CA12_+_63674039.23-P1P2
PIK3R5	PIK3R5_-_8868978.23-P1P2
SERPINB2	SERPINB2_-_61558820.23-P2
SERPINB2	SERPINB2_+_61554925.23-P1
SCYL1	SCYL1_+_65292574.23-P1P2
CDO1	CDO1_-_115152311.23-P1P2
GP1BA	GP1BA_-_4835613.23-P1P2
MAP3K5	MAP3K5_+_137113501.23-P1P2
ADCK2	ADCK2_-_140373404.23-P1P2
MMP25	MMP25_+_3096797.23-P1P2
GCSH	GCSH_-_81129522.23-P1P2
GCSH	GCSH_-_81129987.23-P1P2
CDK16	CDK16_+_47078205.23-P1P2
PFKM	PFKM_-_48516460.23-P2
GPX6	GPX6_-_28483123.23-ENST00000361902.1
MARCKS	MARCKS_+_114178579.23-P1P2
PPIF	PPIF_+_81107670.23-P1P2
NMT1	NMT1_+_43138745.23-P1P2
CKMT2	CKMT2_-_80529188.23-P1P2
PRKAG2	PRKAG2_+_151574231.23-ENST00000287878.4
DUSP14	DUSP14_+_35850421.23-P1
EFTUD1	EFTUD1_-_82554823.23-P1P2
EFTUD1	EFTUD1_+_82555084.23-P1P2
LCTL	LCTL_+_66857974.23-P1P2
LCTL	LCTL_+_66857933.23-P1P2
HTR2C	HTR2C_+_113818592.23-P1P2
HTR2C	HTR2C_+_113819100.23-P1P2
VDAC2	VDAC2_-_76970971.23-P1P2
PNMT	PNMT_-_37824490.23-P1P2
CSNK1A1L	CSNK1A1L_+_37679715.23-P1P2
PTPRJ	PTPRJ_-_48002138.23-P1P2
CBR1	CBR1_+_37442295.23-P1P2
CBR1	CBR1_-_37442339.23-P1P2
ACE	ACE_-_61562238.23-P2
ACE	ACE_+_61562293.23-P2
PTPRM	PTPRM_+_7567308.23-P1P2
PTPRM	PTPRM_-_7567324.23-P1P2
NRBP2	NRBP2_+_144922760.23-P1P2
NRBP2	NRBP2_-_144922734.23-P1P2
PADI2	PADI2_-_17445902.23-P1P2
PADI2	PADI2_+_17445874.23-P1P2
SEC14L3	SEC14L3_-_30867533.23-P1P2
NDUFS3	NDUFS3_-_47600710.23-P1P2
KCNMB2	KCNMB2_-_178254030.23-P2
SMG1	SMG1_+_18937054.23-P1P2
CLEC3B	CLEC3B_-_45067868.23-P1P2
TRPV3	TRPV3_-_3461082.23-P1
CACNB4	CACNB4_+_152830507.23-ENST00000360283.6
CACNB4	CACNB4_+_152830050.23-ENST00000360283.6
CPT2	CPT2_-_53662531.23-P1P2
CIT	CIT_+_120315063.23-P1P2
PDPR	PDPR_+_70148646.23-P1P2
LTA4H	LTA4H_-_96429091.23-P1P2
PDK1	PDK1_-_173421270.23-P1P2
S100B	S100B_-_48025006.23-P1P2
PTK2	PTK2_+_142011368.23-P1P2
GNLY	GNLY_+_85921603.23-P1P2
KCNC4	KCNC4_-_110753308.23-P1P2
EPX	EPX_-_56270118.23-P1P2
CEL	CEL_-_135939878.23-P1P2
DGKH	DGKH_+_42614259.23-P2
DGKH	DGKH_+_42614467.23-P2
CANX	CANX_-_179133132.23-P2
CANX	CANX_+_179126015.23-P1
CANX	CANX_+_179133102.23-P2
NCOA5	NCOA5_+_44718554.23-P1P2
GLRA1	GLRA1_+_151304334.23-P1P2
CHRNE	CHRNE_-_4806328.23-P1P2
NDUFA11	NDUFA11_+_5903372.23-P1P2
ADH5	ADH5_+_100009684.23-P1P2
CSNK2A1	CSNK2A1_-_524386.23-P1P2
CSNK2A1	CSNK2A1_-_524399.23-P1P2
CA1	CA1_-_86290317.23-P1P2
SLC12A1	SLC12A1_-_48498516.23-P1
NR1I3	NR1I3_-_161207947.23-P1P2
PDIK1L	PDIK1L_-_26438360.23-P1P2
PDE6H	PDE6H_-_15126469.23-P1P2
PROSC	PROSC_+_37620521.23-P1P2
CDKL2	CDKL2_+_76555663.23-P1P2
KCND3	KCND3_-_112531850.23-P1P2
KCND3	KCND3_+_112532291.23-P1P2
GABRG1	GABRG1_-_46126061.23-P1P2
PDLIM5	PDLIM5_+_95373101.23-P1P2
LGALS2	LGALS2_+_37976049.23-P1P2
PTPRN	PTPRN_+_220173680.23-P1P2
PTPRN	PTPRN_+_220174048.23-P1P2
PRSS3	PRSS3_-_33795888.23-ENST00000379405.3
MTMR11	MTMR11_+_149903036.23-P1P2
G6PC2	G6PC2_+_169757897.23-P1P2
CAT	CAT_+_34460551.23-P1
CAT	CAT_-_34460507.23-P1
DCLK1	DCLK1_+_36705061.23-ENST00000255448.4
MMP7	MMP7_+_102401009.23-P1P2
TUFM	TUFM_+_28857223.23-P1P2
ARSA	ARSA_-_51066480.23-P1P2
NEK1	NEK1_-_170533710.23-P1P2
SEC14L2	SEC14L2_+_30793323.23-P1P2
DLG4	DLG4_+_7108079.23-P2
CHRNG	CHRNG_+_233404878.23-P1P2
PVR	PVR_-_45147640.23-P1P2
PVR	PVR_+_45147543.23-P1P2
BBOX1	BBOX1_-_27076980.23-P1
BBOX1	BBOX1_-_27063389.23-P2
KCNMA1	KCNMA1_+_79397135.23-P1P2
DHPS	DHPS_+_12792224.23-P1P2
IKBKAP	IKBKAP_+_111695963.23-P1P2
MAP3K2	MAP3K2_+_128145529.23-P1P2
RCVRN	RCVRN_-_9808512.23-P1P2
ALDH1B1	ALDH1B1_+_38392963.23-P1P2
SLC25A29	SLC25A29_+_100772343.23-P1P2
SLC23A1	SLC23A1_-_138718981.23-P1P2
SLC23A1	SLC23A1_+_138718916.23-P1P2
ITPK1	ITPK1_+_93582024.23-P1P2
LIPJ	LIPJ_-_90346948.23-P1P2
SLC25A6	SLC25A6_-_1510526.23-P1
CDKL4	CDKL4_-_39456599.23-ENST00000378803.1
CDKL4	CDKL4_-_39456218.23-ENST00000378803.1
SLC2A2	SLC2A2_+_170744525.23-P1P2
ADK	ADK_-_75911021.23-P2
ADK	ADK_-_75911025.23-P2
FOLH1	FOLH1_+_49229684.23-P1P2
DCXR	DCXR_+_79995174.23-P1P2
SCN4A	SCN4A_-_62049835.23-P1P2
BMP2K	BMP2K_+_79697973.23-P1P2
GSR	GSR_-_30584836.23-P1P2
NNMT	NNMT_-_114167501.23-P1P2
PRPS1L1	PRPS1L1_-_18067423.23-P1P2
PPEF2	PPEF2_+_76823539.23-P1P2
PLOD2	PLOD2_-_145878959.23-P1P2
TNNI3	TNNI3_+_55669049.23-P1P2
SLC25A15	SLC25A15_+_41363767.23-P1P2
PTS	PTS_-_112097179.23-P1P2
PTS	PTS_+_112097564.23-P1P2
GPT2	GPT2_+_46918601.23-P1P2
FAH	FAH_-_80445858.23-P1P2
JAK3	JAK3_-_17958773.23-P1P2
PTPLA	PTPLA_+_17659313.23-P1P2
PTPLA	PTPLA_+_17659316.23-P1P2
RTCA	RTCA_-_100731784.23-P1P2
PHOSPHO1	PHOSPHO1_-_47307951.23-P1P2
ADORA2B	ADORA2B_+_15848965.23-P1P2
GCDH	GCDH_-_13002025.23-P1P2
F2	F2_+_46741243.23-P1P2
F2	F2_+_46741237.23-P1P2
GRIN3B	GRIN3B_+_1000749.23-P1P2
GRIN3B	GRIN3B_+_1000392.23-P1P2
ARPC5	ARPC5_+_183604818.23-P1P2
ARPC5	ARPC5_-_183604444.23-P1P2
FDX1	FDX1_-_110301034.23-P1P2
FDX1	FDX1_+_110300809.23-P1P2
FDX1	FDX1_+_110300796.23-P1P2
NME5	NME5_-_137474728.23-P1P2
MAN1A1	MAN1A1_+_119670521.23-P1P2
ACSL4	ACSL4_-_108976096.23-P1P2
FTCD	FTCD_+_47575445.23-P1
IRAK2	IRAK2_+_10206662.23-P1P2
IRAK2	IRAK2_+_10206636.23-P1P2
CAST	CAST_-_95997966.23-P2
MAP4K1	MAP4K1_-_39108568.23-P1P2
QPRT	QPRT_+_29690950.23-P1
QPRT	QPRT_+_29690910.23-P1
PADI6	PADI6_+_17699095.23-P1P2
GLYAT	GLYAT_+_58499380.23-P1P2
GLYAT	GLYAT_+_58499391.23-P1P2
RBP1	RBP1_+_139258060.23-P1P2
PPIH	PPIH_+_43124090.23-P1P2
MMP1	MMP1_-_102668827.23-P1P2
SPINK6	SPINK6_-_147583066.23-P1P2
KAT2A	KAT2A_+_40273327.23-P1P2
KAT2A	KAT2A_+_40273052.23-P1P2
ABCC2	ABCC2_+_101542515.23-P1P2
ABCC2	ABCC2_+_101542981.23-P1P2
VDAC1	VDAC1_-_133340412.23-P1P2
CAMKK2	CAMKK2_-_121734444.23-P1P2
F11	F11_-_187187374.23-P1P2
PKN2	PKN2_+_89150054.23-P1P2
DDR2	DDR2_+_162602286.23-P1P2
ATP5A1	ATP5A1_+_43678237.23-P1
ATP5A1	ATP5A1_-_43678159.23-P1
CPO	CPO_+_207804482.23-P1P2
DUSP11	DUSP11_+_74007168.23-P1P2
CYTH3	CYTH3_-_6312213.23-P1P2
SCN4B	SCN4B_-_118023465.23-P1P2
SUCLG2	SUCLG2_-_67704590.23-P1P2
LHCGR	LHCGR_-_48982427.23-P1P2
EPS8L1	EPS8L1_-_55587306.23-P1
EPS8L1	EPS8L1_-_55592168.23-P2
FCGR3B	FCGR3B_-_161600662.23-P1P2
DUSP7	DUSP7_+_52090457.23-P1
FECH	FECH_+_55253923.23-P1P2
PPP1R10	PPP1R10_-_30584626.23-P1P2
PTP4A1	PTP4A1_-_64282965.23-P1P2
CNR1	CNR1_-_88875699.23-P1P2
UBC	UBC_-_125399182.23-P1P2
CDK18	CDK18_+_205473874.23-P1P2
TSSK3	TSSK3_-_32828592.23-P1P2
CPD	CPD_-_28706001.23-P1P2
GAK	GAK_-_926017.23-P1P2
OPRL1	OPRL1_+_62723743.23-P1
CA4	CA4_-_58227431.23-P1P2
LGALS7	LGALS7_-_39263857.23-ENST00000378626.4
MTNR1A	MTNR1A_-_187476145.23-P1P2
RDH8	RDH8_-_10124161.23-P1P2
ELANE	ELANE_+_852326.23-P1P2
GM2A	GM2A_+_150633210.23-P1P2
LCT	LCT_-_136594360.23-P1P2
CDKN2D	CDKN2D_+_10679673.23-P1P2
BRAF	BRAF_+_140624087.23-P1P2
PRKACA	PRKACA_+_14228134.23-P1P2
QDPR	QDPR_+_17513483.23-P1P2
GAA	GAA_+_78075602.23-P1P2
GPRC5A	GPRC5A_-_13044529.23-P1
GPRC5A	GPRC5A_+_13061934.23-P2
TGM2	TGM2_-_36793688.23-P1P2
CINP	CINP_-_102829702.23-P1P2
NUCKS1	NUCKS1_+_205719241.23-P1P2
CD52	CD52_+_26644446.23-P1P2
TYROBP	TYROBP_+_36399151.23-P1P2
C1R	C1R_+_7245016.23-P1P2
ALAS2	ALAS2_+_55057316.23-P1P2
LAMTOR3	LAMTOR3_-_100815661.23-P1P2
CAMK1	CAMK1_-_9811451.23-P1P2
S100A2	S100A2_-_153537893.23-P1P2
SLC7A9	SLC7A9_+_33360640.23-P1P2
KRTAP5-3	KRTAP5-3_+_1629259.23-ENST00000399685.1
CXCR1	CXCR1_-_219031621.23-P1P2
MTMR12	MTMR12_-_32313040.23-P1P2
NEK6	NEK6_+_127020678.23-P1P2
NEK6	NEK6_-_127020260.23-P1P2
FGGY	FGGY_+_59762591.23-P1P2
SLC8A1	SLC8A1_-_40739158.23-P2
SLC8A1	SLC8A1_-_40739316.23-P2
SLC8A1	SLC8A1_+_40678789.23-P1
SLC25A18	SLC25A18_-_18043604.23-P1P2
SLC25A18	SLC25A18_-_18043219.23-P1P2
CD1A	CD1A_-_158224302.23-P1P2
B4GALT3	B4GALT3_-_161146833.23-P1P2
IKBKB	IKBKB_+_42128863.23-P1P2
AGXT	AGXT_+_241808706.23-P1P2
UBA1	UBA1_-_47053254.23-P1
UBA1	UBA1_+_47053222.23-P1
CAMK1G	CAMK1G_-_209781067.23-P2
CAMK1G	CAMK1G_-_209757073.23-P1
SERPINB6	SERPINB6_-_2971134.23-P1P2
GPR18	GPR18_+_99910456.23-P1P2
TRAPPC6B	TRAPPC6B_+_39639557.23-P1P2
DHODH	DHODH_-_72042728.23-P1
DHODH	DHODH_-_72049691.23-P2
SLC36A1	SLC36A1_-_150827230.23-P1
ACAT2	ACAT2_-_160183054.23-P1P2
KCNJ5	KCNJ5_-_128761671.23-P1P2
CHKA	CHKA_+_67888380.23-P1P2
RAB7A	RAB7A_+_128445197.23-P1P2
SBF2	SBF2_-_10315514.23-P1P2
UGCG	UGCG_-_114659148.23-P1P2
GABRB1	GABRB1_-_47034022.23-P1P2
GABRB1	GABRB1_+_47034051.23-P1P2
GAD1	GAD1_+_171673381.23-P1P2
GAD1	GAD1_-_171673809.23-P1P2
TSKS	TSKS_+_50266521.23-P1P2
TSKS	TSKS_+_50266488.23-P1P2
PTPRH	PTPRH_+_55720802.23-P1P2
PTPRH	PTPRH_-_55720820.23-P1P2
GLRX	GLRX_-_95158301.23-P1P2
PPBP	PPBP_-_74853875.23-P1P2
PPBP	PPBP_+_74853665.23-P1P2
KCNA1	KCNA1_-_5019494.23-P1P2
KCNA1	KCNA1_-_5019086.23-P1P2
KCNA1	KCNA1_-_5019414.23-P1P2
NGF	NGF_+_115880823.23-P1P2
DUSP19	DUSP19_+_183943556.23-P1P2
OAZ3	OAZ3_+_151739571.23-P1
OAZ3	OAZ3_-_151735963.23-P2
PDXDC1	PDXDC1_-_15069212.23-P1P2
NDUFS5	NDUFS5_-_39492036.23-P1
EFNB2	EFNB2_-_107187354.23-P1P2
PRDX5	PRDX5_+_64086008.23-P1P2
PRDX5	PRDX5_+_64085984.23-P1P2
TNNC1	TNNC1_+_52488012.23-P1P2
CLPB	CLPB_-_72145578.23-P1P2
CLPB	CLPB_+_72145538.23-P1P2
SLC6A8	SLC6A8_-_152953397.23-P1P2
FCGR1B	FCGR1B_+_120935888.23-P1P2
IL3RA	IL3RA_-_1455915.23-P1P2
RXRB	RXRB_-_33167833.23-P1P2
P4HA1	P4HA1_+_74856572.23-P1P2
P4HA1	P4HA1_-_74856543.23-P1P2
NQO1	NQO1_+_69752413.23-P2
NQO1	NQO1_+_69760444.23-P1
CAMK2B	CAMK2B_+_44364942.23-P1P2
ALPK1	ALPK1_-_113218809.23-P1P2
GCK	GCK_+_44228655.23-P1P2
TPI1	TPI1_-_6976921.23-P1P2
HSD17B10	HSD17B10_+_53461274.23-P1P2
KCNMB1	KCNMB1_+_169815968.23-P1P2
GDI1	GDI1_+_153665932.23-P1P2
FCER1A	FCER1A_+_159272174.23-P1P2
LYZ	LYZ_-_69742194.23-P1P2
PTH	PTH_-_13517558.23-P1P2
SCMH1	SCMH1_+_41626552.23-ENST00000326197.7
SCMH1	SCMH1_-_41626628.23-ENST00000402904.2
TP53RK	TP53RK_-_45317703.23-P1P2
TRPM6	TRPM6_+_77502333.23-P1P2
TLR7	TLR7_-_12885242.23-P1P2
CYP4A11	CYP4A11_+_47406643.23-P1P2
CYP4A11	CYP4A11_+_47406647.23-P1P2
PPEF1	PPEF1_-_18725809.23-P1P2
SLC7A11	SLC7A11_+_139163002.23-P1P2
CD86	CD86_-_121774287.23-P1
CD86	CD86_-_121774297.23-P1
CD86	CD86_-_121797180.23-P2
SLC7A2	SLC7A2_+_17355010.23-P1P2
SLC7A2	SLC7A2_-_17354864.23-P1P2
TLR8	TLR8_-_12924771.23-P1P2
